Task,Task time,Index diff time,Start Time,End Time
u01_JOY_A0_7,6.744,6.74,1541722666056,1541722672800
u01_JOY_A0_1,9.675,9.672,1541722684733,1541722694408
u01_JOY_A0_2,14.243,14.236,1541722698823,1541722713066
u01_JOY_A0_3,23.696,23.684,1541722714426,1541722738122
u01_JOY_A0_4,22.185,22.176000000000002,1541722752079,1541722774264
u01_JOY_A0_5,32.922,32.908,1541722799415,1541722832337
u01_SNP_A0_1,46.151,46.128,1541634241415,1541634287566
u01_SNP_A0_2,60.908,60.876000000000005,1541634311472,1541634372380
u01_SNP_A0_3,33.085,33.068,1541634375420,1541634408505
u01_SNP_A0_4,39.609,39.588,1541634479054,1541634518663
u01_SNP_A0_5,185.791,185.70000000000002,1541634550406,1541634736197
u01_SNP_A0_6,68.684,68.652,1541634786326,1541634855010
u01_SNP_A0_7,13.34,13.336,1541634871276,1541634884616
u02_HA_A0_2,24.176,24.124,1538498657953,1538498682129
u02_HA_A0_3,26.517,26.46,1538498684094,1538498710611
u02_HA_A0_4,19.042,19.0,1538498732714,1538498751756
u02_HA_A0_5,44.441,44.348,1538498785192,1538498829633
u02_HA_A0_6,13.492,13.464,1538498863140,1538498876632
u02_HA_A0_7,18.448,18.408,1538498922731,1538498941179
u02_HA_A0_1,8.833,8.816,1538498952039,1538498960872
u02_JOY_A0_3,37.28,37.196,1536945129694,1536945166974
u02_JOY_A0_4,33.71,33.632,1536945181944,1536945215654
u02_JOY_A0_5,65.004,64.856,1536945235495,1536945300499
u02_JOY_A0_6,18.618,18.576,1536945340416,1536945359034
u02_JOY_A0_7,12.289,12.26,1536945361878,1536945374167
u02_JOY_A0_1,35.761,35.68,1536945384880,1536945420641
u02_JOY_A0_2,15.137,15.1,1536945425206,1536945440343
u02_SNP_A0_1,32.682,32.608000000000004,1536593748380,1536593781062
u02_SNP_A0_2,32.246,32.172000000000004,1536593805358,1536593837604
u02_SNP_A0_3,20.562,20.516000000000002,1536593846006,1536593866568
u02_SNP_A0_4,127.696,127.412,1536593937882,1536594065578
u02_SNP_A0_5,267.936,267.34000000000003,1536594510161,1536594778097
u02_SNP_A0_6,32.806,32.736000000000004,1536594859261,1536594892067
u02_SNP_A0_7,17.573,17.532,1536594898245,1536594915818
u03_HA_A0_5,119.181,118.9,1537287173679,1537287292860
u03_HA_A0_6,48.459,48.348,1537287343495,1537287391954
u03_HA_A0_7,39.198,39.108000000000004,1537287421642,1537287460840
u03_HA_A0_1,5.945,5.932,1537287489528,1537287495473
u03_HA_A0_2,35.415,35.332,1537287504609,1537287540024
u03_HA_A0_3,23.41,23.356,1537287545560,1537287568970
u03_HA_A0_4,34.051,33.972,1537287590142,1537287624193
u03_JOY_A0_2,27.112,27.044,1536612576696,1536612603808
u03_JOY_A0_3,11.269,11.244,1536612606497,1536612617766
u03_JOY_A0_4,24.233,24.172,1536612649545,1536612673778
u03_JOY_A0_5,35.973,35.884,1536612695380,1536612731353
u03_JOY_A0_6,13.897,13.86,1536612760201,1536612774098
u03_JOY_A0_7,13.261,13.228,1536612779663,1536612792924
u03_JOY_A0_1,11.461,11.432,1536612825346,1536612836807
u03_SNP_A0_6,61.244,61.088,1536696194429,1536696255673
u03_SNP_A0_7,55.945,55.804,1536696264517,1536696320462
u03_SNP_A0_1,14.824,14.788,1536696342564,1536696357388
u03_SNP_A0_2,33.713,33.628,1536696390240,1536696423953
u03_SNP_A0_3,58.559,58.412,1536696424829,1536696483388
u03_SNP_A0_4,59.143,58.992000000000004,1536696515743,1536696574886
u03_SNP_A0_5,123.14,122.83200000000001,1536696600774,1536696723914
u04_HA_A0_6,17.288,17.256,1537803423619,1537803440907
u04_HA_A0_7,12.224,12.200000000000001,1537803445812,1537803458036
u04_HA_A0_1,7.552,7.5360000000000005,1537803471627,1537803479179
u04_HA_A0_2,15.396,15.364,1537803483643,1537803499039
u04_HA_A0_3,20.432,20.392,1537803531818,1537803552250
u04_HA_A0_4,24.19,24.14,1537803566644,1537803590834
u04_HA_A0_5,63.47,63.34,1537803619109,1537803682579
u04_JOY_A0_3,23.28,23.236,1537889650232,1537889673512
u04_JOY_A0_4,21.316,21.276,1537889687641,1537889708957
u04_JOY_A0_5,32.023,31.964000000000002,1537889736383,1537889768406
u04_JOY_A0_6,13.296,13.272,1537889787439,1537889800735
u04_JOY_A0_7,10.289,10.268,1537889803692,1537889813981
u04_JOY_A0_1,9.513,9.492,1537889824771,1537889834284
